name,pop2021
Afghanistan,39835.4280
Albania,2872.9330
Algeria,44616.6240
Andorra,77.3550
Angola,33933.6100
Antigua and Barbuda,98.7310
Argentina,45605.8260
Armenia,2968.1270
Australia,25788.2150
Austria,9043.0700
Azerbaijan,10223.3420
Bahamas,396.9130
Bahrain,1748.2960
Bangladesh,166303.4980
Barbados,287.7110
Belarus,9442.8620
Belgium,11632.3260
Belize,404.9140
Benin,12451.0400
Bhutan,779.8980
Bolivia,11832.9400
Bosnia and Herzegovina,3263.4660
Botswana,2397.2410
Brazil,213993.4370
Brunei,441.5320
Bulgaria,6896.6630
Burkina Faso,21497.0960
Burundi,12255.4330
Cambodia,16946.4380
Cameroon,27224.2650
Canada,38067.9030
Cape Verde,561.8980
Central African Republic,4919.9810
Chad,16914.9850
Chile,19212.3610
China,1444216.1070
Colombia,51265.8440
Comoros,888.4510
Costa Rica,5139.0520
Croatia,4081.6510
Cuba,11317.5050
Cyprus,1215.5840
Czech Republic,10724.5550
Denmark,5813.2980
Djibouti,1002.1870
Dominica,72.1670
Dominican Republic,10953.7030
DR Congo,92377.9930
Ecuador,17888.4750
Egypt,104258.3270
El Salvador,6518.4990
Equatorial Guinea,1449.8960
Eritrea,3601.4670
Estonia,1325.1850
Eswatini,1172.3620
Ethiopia,117876.2270
Fiji,902.9060
Finland,5548.3600
France,65426.1790
French Guiana,306.4480
Gabon,2278.8250
Gambia,2486.9450
Georgia,3979.7650
Germany,83900.4730
Ghana,31732.1290
Greece,10370.7440
Greenland,56.8770
Grenada,113.0210
Guadeloupe,400.0200
Guatemala,18249.8600
Guinea,13497.2440
Guinea-Bissau,2015.4940
Guyana,790.3260
Haiti,11541.6850
Honduras,10062.9910
Hong Kong,7552.8100
Hungary,9634.1640
Iceland,343.3530
India,1393409.0380
Indonesia,276361.7830
Iran,85028.7590
Iraq,41179.3500
Ireland,4982.9070
Israel,8789.7740
Italy,60367.4770
Ivory Coast,27053.6290
Jamaica,2973.4630
Japan,126050.8040
Jordan,10269.0210
Kazakhstan,18994.9620
Kenya,54985.6980
Kiribati,121.3920
Kuwait,4328.5500
Kyrgyzstan,6628.3560
Laos,7379.3580
Latvia,1866.9420
Lebanon,6769.1460
Lesotho,2159.0790
Liberia,5180.2030
Libya,6958.5320
Liechtenstein,38.2500
Lithuania,2689.8620
Luxembourg,634.8140
Madagascar,28427.3280
Malawi,19647.6840
Malaysia,32776.1940
Maldives,543.6170
Mali,20855.7350
Malta,442.7840
Marshall Islands,59.6100
Martinique,374.7450
Mauritania,4775.1190
Mauritius,1273.4330
Mayotte,279.5150
Mexico,130262.2160
Micronesia,116.2540
Moldova,4024.0190
Monaco,39.5110
Mongolia,3329.2890
Montenegro,628.0530
Morocco,37344.7950
Mozambique,32163.0470
Myanmar,54806.0120
Namibia,2587.3440
Nauru,10.8760
Nepal,29674.9200
Netherlands,17173.0990
New Zealand,4860.6430
Nicaragua,6702.3850
Niger,25130.8170
Nigeria,211400.7080
North Korea,25887.0410
North Macedonia,2082.6580
Norway,5465.6300
Oman,5223.3750
Pakistan,225199.9370
Palau,18.1690
Palestine,5222.7480
Panama,4381.5790
Papua New Guinea,9119.0100
Paraguay,7219.6380
Peru,33359.4180
Philippines,111046.9130
Poland,37797.0050
Portugal,10167.9250
Puerto Rico,2828.2550
Qatar,2930.5280
Republic of the Congo,5657.0130
Reunion,901.6860
Romania,19127.7740
Russia,145912.0250
Rwanda,13276.5130
Saint Kitts and Nevis,53.5440
Saint Lucia,184.4000
Saint Vincent and the Grenadines,111.2630
Samoa,200.1490
San Marino,34.0170
Sao Tome and Principe,223.3680
Saudi Arabia,35340.6830
Senegal,17196.3010
Serbia,8697.5500
Seychelles,98.9080
Sierra Leone,8141.3430
Singapore,5896.6860
Slovakia,5460.7210
Slovenia,2078.7240
Solomon Islands,703.9960
Somalia,16359.5040
South Africa,60041.9940
South Korea,51305.1860
South Sudan,11381.3780
Spain,46745.2160
Sri Lanka,21497.3100
Sudan,44909.3530
Suriname,591.8000
Sweden,10160.1690
Switzerland,8715.4940
Syria,18275.7020
Taiwan,23855.0100
Tajikistan,9749.6270
Tanzania,61498.4370
Thailand,69950.8500
Timor-Leste,1343.8730
Togo,8478.2500
Tonga,106.7600
Trinidad and Tobago,1403.3750
Tunisia,11935.7660
Turkey,85042.7380
Turkmenistan,6117.9240
Tuvalu,11.9310
Uganda,47123.5310
Ukraine,43466.8190
United Arab Emirates,9991.0890
United Kingdom,68207.1160
United States,332915.0730
Uruguay,3485.1510
Uzbekistan,33935.7630
Vanuatu,314.4640
Vatican City,0.8000
Venezuela,28704.9540
Viet Nam,98168.8330
Western Sahara,611.8750
Yemen,30490.6400
Zambia,18920.6510
Zimbabwe,15092.1710
